year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1995,Species,1,R,English,USA,Dennis Feldman,5.8,Roger Donaldson,"Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker","Action, Horror, Sci-Fi",movie,NA,108,1,USA,English,Action,Roger Donaldson,Dennis Feldman
1995,The Quick and the Dead,1,R,"English, Spanish","USA, Japan",Simon Moore,6.4,Sam Raimi,"Sharon Stone, Gene Hackman, Russell Crowe, Leonardo DiCaprio","Action, Thriller, Western",movie,NA,107,0,USA,English,Action,Sam Raimi,Simon Moore
1995,Assassins,0,R,"English, Dutch, Spanish","USA, France","Andy Wachowski (story), Lana Wachowski (story), Andy Wachowski (screenplay), Lana Wachowski (screenplay), Brian Helgeland (screenplay)",6.2,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov","Action, Thriller, Crime",movie,NA,132,0,USA,English,Action,Richard Donner,Andy Wachowski (story)
1995,Maborosi,1,NA,Japanese,Japan,"Teru Miyamoto (novel), Yoshihisa Ogita (screenplay)",7.7,Hirokazu Koreeda,"Makiko Esumi, Takashi Naitô, Tadanobu Asano, Gohki Kashiyama",Drama,movie,NA,110,1,Japan,Japanese,Drama,Hirokazu Koreeda,Teru Miyamoto (novel)
1995,Underground,0,Not Rated,"Serbian, German, French, English, Russian","Federal Republic of Yugoslavia, France, Germany, Bulgaria, Czech Republic, Hungary","Dusan Kovacevic (story), Emir Kusturica (screenplay)",8.2,Emir Kusturica,"Predrag Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac","Comedy, Drama, War",movie,NA,167,1,Federal Republic of Yugoslavia,Serbian,Comedy,Emir Kusturica,Dusan Kovacevic (story)
1995,The Langoliers,1,PG-13,English,USA,NA,6.1,NA,"Patricia Wettig, Dean Stockwell, David Morse, Mark Lindsay Chapman","Horror, Mystery, Sci-Fi",movie,NA,180,0,USA,English,Horror,NA,NA
1995,Congo,0,PG-13,English,USA,"Michael Crichton (novel), John Patrick Shanley (screenplay)",4.9,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry","Action, Adventure, Mystery",movie,NA,109,1,USA,English,Action,Frank Marshall,Michael Crichton (novel)
1995,Home for the holidays,1,PG-13,English,USA,"Chris Radant (short story), W.D. Richter (screenplay)",6.6,Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning","Comedy, Drama, Romance",movie,NA,103,0,USA,English,Comedy,Jodie Foster,Chris Radant (short story)
1995,Dracula: Dead and Loving It,1,PG-13,"English, German","USA, France","Mel Brooks (screenplay), Rudy De Luca (screenplay), Steve Haberman (screenplay), Rudy De Luca (story), Steve Haberman (story), Bram Stoker (characters)",5.7,Mel Brooks,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck","Comedy, Fantasy, Horror",movie,NA,88,0,USA,English,Comedy,Mel Brooks,Mel Brooks (screenplay)
1995,Ringu Kanzenban,0,NA,Japanese,Japan,"Jôji Iida (teleplay), Taizô Soshigaya (teleplay), Kôji Suzuki (novel)",7.2,Chisui Takigawa,"Katsunori Takahashi, Ayane Miura, Mai Tachihara, Maha Hamada",Horror,movie,79,110,0,Japan,Japanese,Horror,Chisui Takigawa,Jôji Iida (teleplay)
1995,Devil in a Blue Dress,0,R,English,USA,"Walter Mosley (book), Carl Franklin (screenplay)",6.7,Carl Franklin,"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle","Crime, Drama, Mystery",movie,NA,102,1,USA,English,Crime,Carl Franklin,Walter Mosley (book)
1996,The Rock,0,R,English,USA,"David Weisberg (story), Douglas Cook (story), David Weisberg (screenplay), Douglas Cook (screenplay), Mark Rosner (screenplay)",7.4,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer","Action, Adventure, Thriller",movie,NA,136,1,USA,English,Action,Michael Bay,David Weisberg (story)
1996,Jane Eyre,1,PG,"English, French","France, Italy, UK, USA","Charlotte Brontë (novel), Hugh Whitemore (screenplay), Franco Zeffirelli (screenplay), Josep Llurba (translation and adaptation)",6.8,Franco Zeffirelli,"Anna Paquin, Nic Knight, Nicola Howard, Sasha Graff","Drama, Romance",movie,NA,112,1,France,English,Drama,Franco Zeffirelli,Charlotte Brontë (novel)
1996,Spy Hard,0,PG-13,"English, French, Spanish",USA,"Jason Friedberg (story), Aaron Seltzer (story), Rick Friedberg (screenplay), Dick Chudnow (screenplay), Jason Friedberg (screenplay), Aaron Seltzer (screenplay)",5.2,Rick Friedberg,"Leslie Nielsen, Nicollette Sheridan, Charles Durning, Marcia Gay Harden","Comedy, Action",movie,NA,81,0,USA,English,Comedy,Rick Friedberg,Jason Friedberg (story)
1996,Trainspotting,0,R,English,UK,"Irvine Welsh (novel), John Hodge (screenplay)",8.2,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd","Crime, Drama",movie,NA,94,1,UK,English,Crime,Danny Boyle,Irvine Welsh (novel)
1996,Bound,1,R,English,USA,"Andy Wachowski, Lana Wachowski",7.5,"Andy Wachowski, Lana Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano, John P. Ryan","Crime, Drama, Thriller",movie,NA,108,1,USA,English,Crime,Andy Wachowski,Andy Wachowski
1996,Matilda,1,PG,English,USA,"Roald Dahl (book), Nicholas Kazan (screenplay), Robin Swicord (screenplay)",6.8,Danny DeVito,"Mara Wilson, Danny DeVito, Rhea Perlman, Embeth Davidtz","Comedy, Fantasy",movie,NA,102,1,USA,English,Comedy,Danny DeVito,Roald Dahl (book)
1996,Broken Arrow,0,R,English,USA,Graham Yost,5.9,John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo","Action, Adventure, Thriller",movie,NA,108,1,USA,English,Action,John Woo,Graham Yost
1996,Space Jam,0,PG,English,USA,"Leo Benvenuti, Steve Rudnick, Timothy Harris, Herschel Weingrod",6.1,Joe Pytka,"Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington","Animation, Adventure, Comedy",movie,NA,88,1,USA,English,Animation,Joe Pytka,Leo Benvenuti
1996,Independence Day,1,PG-13,English,USA,"Dean Devlin, Roland Emmerich",6.9,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","Action, Adventure, Drama",movie,NA,145,1,USA,English,Action,Roland Emmerich,Dean Devlin
1996,Mission: Impossible,0,PG-13,"English, French, Czech",USA,"Bruce Geller (television series), David Koepp (story), Steven Zaillian (story), David Koepp (screenplay), Robert Towne (screenplay)",7,Brian De Palma,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny","Action, Adventure, Thriller",movie,NA,110,1,USA,English,Action,Brian De Palma,Bruce Geller (television series)
1996,From Dusk Till Dawn,0,R,"English, Spanish",USA,"Robert Kurtzman (story), Quentin Tarantino (screenplay)",7.3,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis","Action, Crime, Horror",movie,NA,108,1,USA,English,Action,Robert Rodriguez,Robert Kurtzman (story)
1996,The Cable Guy,0,PG-13,"English, French",USA,Lou Holtz Jr.,6,Ben Stiller,"Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black","Comedy, Drama, Thriller",movie,NA,96,1,USA,English,Comedy,Ben Stiller,Lou Holtz Jr.
1996,The Quest,0,PG-13,English,"USA, Canada","Frank Dux (story), Jean-Claude Van Damme (story), Steve Klein (screenplay), Paul Mones (screenplay)",5.3,Jean-Claude Van Damme,"Jean-Claude Van Damme, Roger Moore, James Remar, Janet Gunn","Action, Adventure, Thriller",movie,NA,95,0,USA,English,Action,Jean-Claude Van Damme,Frank Dux (story)
1996,Down Periscope,0,PG-13,English,USA,"Hugh Wilson (story), Hugh Wilson (screenplay), Andrew Kurtzman (screenplay), Eliot Wald (screenplay)",5.9,David S. Ward,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",Comedy,movie,NA,92,0,USA,English,Comedy,David S. Ward,Hugh Wilson (story)
1996,Scream,1,R,English,USA,Kevin Williamson,7.2,Wes Craven,"Drew Barrymore, Roger Jackson, Kevin Patrick Walls, David Booth","Crime, Horror, Mystery",movie,NA,111,1,USA,English,Crime,Wes Craven,Kevin Williamson
1996,Libertarias,1,NA,Spanish,"Spain, Italy, Belgium","Vicente Aranda (screenplay), Vicente Aranda (story), José Luis Guarner (story), Román Gubern (story), Antonio Rabinad",7,Vicente Aranda,"Ana Belén, Victoria Abril, Ariadna Gil, Blanca Apilánez","Drama, History, War",movie,977,125,1,Spain,Spanish,Drama,Vicente Aranda,Vicente Aranda (screenplay)
1996,Harriet the Spy,1,PG,English,USA,"Louise Fitzhugh (novel), Greg Taylor (adaptation), Julie Talen (adaptation), Douglas Petrie (screenplay), Theresa Rebeck (screenplay)",5.9,Bronwen Hughes,"Michelle Trachtenberg, Gregory Smith, Vanessa Lee Chester, Rosie O'Donnell","Family, Comedy, Drama",movie,NA,100,1,USA,English,Family,Bronwen Hughes,Louise Fitzhugh (novel)
1996,Fire,1,Unrated,"Hindi, English","Canada, India",Deepa Mehta,7.3,Deepa Mehta,"Karishma Jhalani, Ramanjeet Kaur, Dilip Mehta, Javed Jaffrey","Drama, Romance",movie,NA,104,1,Canada,Hindi,Drama,Deepa Mehta,Deepa Mehta
1996,The First Wives Club,1,PG,English,USA,"Olivia Goldsmith (novel), Robert Harling (screenplay)",6.1,Hugh Wilson,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith",Comedy,movie,NA,103,1,USA,English,Comedy,Hugh Wilson,Olivia Goldsmith (novel)
1996,I Shot Andy Warhol,1,R,English,"UK, USA","Jeremiah Newton (book), Diane Tucker (research), Mary Harron, Daniel Minahan",6.6,Mary Harron,"Lili Taylor, Jared Harris, Martha Plimpton, Lothaire Bluteau","Biography, Drama",movie,NA,103,1,UK,English,Biography,Mary Harron,Jeremiah Newton (book)
1996,Girls Town,1,R,English,USA,"Jim McKay, Denise Casano, Anna Grace, Bruklin Harris, Lili Taylor",6.2,Jim McKay,"Lili Taylor, Bruklin Harris, Anna Grace, Aunjanue Ellis","Comedy, Drama",movie,646,90,1,USA,English,Comedy,Jim McKay,Jim McKay
1996,Foxfire,1,R,English,USA,"Joyce Carol Oates (novel), Elizabeth White (screenplay)",6.1,Annette Haywood-Carter,"Hedy Burress, Angelina Jolie, Jenny Lewis, Jenny Shimizu",Drama,movie,NA,102,0,USA,English,Drama,Annette Haywood-Carter,Joyce Carol Oates (novel)
1996,Freeway,1,R,English,USA,Matthew Bright,6.9,Matthew Bright,"Kiefer Sutherland, Reese Witherspoon, Bokeem Woodbine, Paul Perri","Comedy, Crime, Drama",movie,NA,110,1,USA,English,Comedy,Matthew Bright,Matthew Bright
1996,DragonHeart,0,PG-13,English,USA,"Patrick Read Johnson (story), Charles Edward Pogue (story), Charles Edward Pogue (screenplay)",6.4,Rob Cohen,"Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer","Action, Adventure, Drama",movie,NA,103,1,USA,English,Action,Rob Cohen,Patrick Read Johnson (story)
1996,The Hunchback of Notre Dame,0,G,"English, Latin",USA,"Geefwee Boedoe (story), Tab Murphy (animation screenplay), Irene Mecchi (animation screenplay), Bob Tzudiker (animation screenplay), Noni White (animation screenplay), Jonathan Roberts (animation screenplay), Tab Murphy (animation story), Victor Hugo (novel), Sue C. Nichols (story), Christine Blum (story), Gaëtan Brizzi (story), Paul Brizzi (story), Jim Capobianco (story), Brenda Chapman (story), Francis Glebas (story), Ed Gombert (story), Kirk Hanson (story), Kevin Harkey (story), Burny Mattinson (story), Floyd Norman (story), Denis Rich (story), Jeff Snow (story), Kelly Wightman (story), James Fujii (story), John Sanford (story)",6.8,"Gary Trousdale, Kirk Wise","Jason Alexander, Mary Kay Bergman, Corey Burton, Jim Cummings","Animation, Drama, Family",movie,NA,91,1,USA,English,Animation,Gary Trousdale,Geefwee Boedoe (story)
1996,The Long Kiss Goodnight,1,R,English,USA,Shane Black,6.7,Renny Harlin,"Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko","Action, Crime, Drama",movie,NA,121,0,USA,English,Action,Renny Harlin,Shane Black
1996,Love and Other Catastrophes,1,R,English,Australia,"Stavros Kazantzidis (story), Yael Bergman (screenplay), Emma-Kate Croghan (screenplay), Helen Bandis (screenplay)",6.4,Emma-Kate Croghan,"Matt Day, Matthew Dyktynski, Alice Garner, Frances O'Connor","Comedy, Romance",movie,NA,78,1,Australia,English,Comedy,Emma-Kate Croghan,Stavros Kazantzidis (story)
1996,Secrets &amp; Lies,1,R,English,"France, UK",Mike Leigh,8,Mike Leigh,"Timothy Spall, Phyllis Logan, Brenda Blethyn, Claire Rushbrook",Drama,movie,NA,136,1,France,English,Drama,Mike Leigh,Mike Leigh
1996,Hamlet,0,PG-13,English,"UK, USA","William Shakespeare (play), Kenneth Branagh (screenplay)",7.9,Kenneth Branagh,"Riz Abbasi, Richard Attenborough, David Blair, Brian Blessed","Drama, History",movie,NA,242,1,UK,English,Drama,Kenneth Branagh,William Shakespeare (play)
1996,Ridicule,0,R,French,France,"Rémi Waterhouse (scenario), Michel Fessler (screenplay), Eric Vicaut (collaboration), Rémi Waterhouse (dialogue)",7.4,Patrice Leconte,"Charles Berling, Jean Rochefort, Fanny Ardant, Judith Godrèche","Comedy, Drama, Romance",movie,NA,102,1,France,French,Comedy,Patrice Leconte,Rémi Waterhouse (scenario)
1996,Muppet Treasure Island,0,G,English,USA,"Robert Louis Stevenson (novel), Jerry Juhl (screenplay), Kirk R. Thatcher (screenplay), James V. Hart (screenplay)",6.9,Brian Henson,"Tim Curry, Kevin Bishop, Billy Connolly, Jennifer Saunders","Action, Adventure, Comedy",movie,NA,99,0,USA,English,Action,Brian Henson,Robert Louis Stevenson (novel)
1996,The Craft,1,R,"English, French",USA,"Peter Filardi (story), Peter Filardi (screenplay), Andrew Fleming (screenplay)",6.2,Andrew Fleming,"Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True","Drama, Fantasy, Horror",movie,NA,101,1,USA,English,Drama,Andrew Fleming,Peter Filardi (story)
1996,Escape from L.A.,0,R,English,USA,"John Carpenter (characters), Nick Castle (characters), John Carpenter, Debra Hill, Kurt Russell",5.6,John Carpenter,"Kurt Russell, Steve Buscemi, Peter Fonda, Cliff Robertson","Action, Adventure, Sci-Fi",movie,NA,101,0,USA,English,Action,John Carpenter,John Carpenter (characters)
1996,Fly Away Home,1,PG,English,"USA, Canada","Bill Lishman (autobiography), Robert Rodat (screenplay), Vince McKewin (screenplay)",6.8,Carroll Ballard,"Jeff Daniels, Anna Paquin, Dana Delany, Terry Kinney","Adventure, Drama, Family",movie,NA,107,1,USA,English,Adventure,Carroll Ballard,Bill Lishman (autobiography)
1996,101 Dalmatians,1,G,"English, Spanish",USA,"Dodie Smith (novel), John Hughes (screenplay)",5.6,Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright","Family, Comedy, Adventure",movie,NA,103,1,USA,English,Family,Stephen Herek,Dodie Smith (novel)
1996,Homeward Bound II: Lost in San Francisco,0,G,English,USA,"Chris Hauty, Julie Hickson, Sheila Burnford (characters from novel ""The Incredible Journey"")",5.8,David R. Ellis,"Michael J. Fox, Sally Field, Ralph Waite, Al Michaels","Adventure, Comedy, Family",movie,NA,89,0,USA,English,Adventure,David R. Ellis,Chris Hauty
1996,Twister,1,PG-13,English,USA,"Michael Crichton, Anne-Marie Martin",6.2,Jan de Bont,"Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz","Action, Adventure, Drama",movie,NA,113,1,USA,English,Action,Jan de Bont,Michael Crichton
1996,Jingle All the Way,0,PG,English,USA,Randy Kornfield,5.3,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson","Comedy, Family",movie,NA,89,1,USA,English,Comedy,Brian Levant,Randy Kornfield
1996,Female Perversions,1,R,English,"Germany, USA","Louise J. Kaplan (book), Julie Hébert (screenplay), Susan Streitfeld (screenplay)",5.5,Susan Streitfeld,"Tilda Swinton, Amy Madigan, Karen Sillas, Frances Fisher",Drama,movie,NA,119,1,Germany,English,Drama,Susan Streitfeld,Louise J. Kaplan (book)
1996,Striptease,1,R,English,USA,"Carl Hiaasen (book), Andrew Bergman (screenplay)",4.2,Andrew Bergman,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames","Crime, Drama, Thriller",movie,NA,115,1,USA,English,Crime,Andrew Bergman,Carl Hiaasen (book)
1996,Fargo,0,R,English,"USA, UK","Ethan Coen, Joel Coen",8.2,"Joel Coen, Ethan Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd","Crime, Drama, Thriller",movie,NA,98,1,USA,English,Crime,Joel Coen,Ethan Coen
1996,The Associate,1,PG-13,English,USA,"Jenaro Prieto (novel), Jean-Claude Carrière (screenplay), René Gainville (screenplay), Nick Thiel (screenplay)",5.9,Donald Petrie,"Whoopi Goldberg, Dianne Wiest, Eli Wallach, Tim Daly",Comedy,movie,NA,114,0,USA,English,Comedy,Donald Petrie,Jenaro Prieto (novel)
1996,Charlot og Charlotte,1,NA,Danish,Denmark,NA,7.7,NA,"Helle Dolleris, Ellen Hillingsø, Baard Owe, Nicolaj Kopernikus",Drama,movie,338,NA,1,Denmark,Danish,Drama,NA,NA
1996,Beyond Silence (Jenseits der Stille),1,PG-13,"German, German Sign Language, English, Spanish",Germany,"Caroline Link, Beth Serlin",7.5,Caroline Link,"Sylvie Testud, Tatjana Trieb, Howie Seago, Emmanuelle Laborit","Drama, Music",movie,NA,109,1,Germany,German,Drama,Caroline Link,Caroline Link
1996,Set It Off,1,R,English,USA,"Takashi Bufford (story), Takashi Bufford (screenplay), Kate Lanier (screenplay)",6.7,F. Gary Gray,"Jada Pinkett Smith, Queen Latifah, Vivica A. Fox, Kimberly Elise","Action, Crime, Drama",movie,NA,123,1,USA,English,Action,F. Gary Gray,Takashi Bufford (story)
1996,Grace of my heart,1,R,English,USA,Allison Anders,6.7,Allison Anders,"Illeana Douglas, Sissy Boyd, Christina Pickles, Jill Sobule","Comedy, Drama, Music",movie,NA,116,0,USA,English,Comedy,Allison Anders,Allison Anders
1996,Emma,1,PG,English,"UK, USA","Jane Austen (novel), Douglas McGrath (screenplay)",6.9,Douglas McGrath,"Gwyneth Paltrow, James Cosmo, Greta Scacchi, Alan Cumming","Comedy, Drama, Romance",movie,NA,121,1,UK,English,Comedy,Douglas McGrath,Jane Austen (novel)
1996,The English Patient,1,R,"English, German, Italian, Arabic","USA, UK","Michael Ondaatje (novel), Anthony Minghella (screenplay)",7.4,Anthony Minghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas","Drama, Romance, War",movie,NA,162,1,USA,English,Drama,Anthony Minghella,Michael Ondaatje (novel)
1996,The Spitfire Grill,1,PG-13,English,USA,Lee David Zlotoff,6.9,Lee David Zlotoff,"Alison Elliott, Ellen Burstyn, Marcia Gay Harden, Will Patton",Drama,movie,NA,117,1,USA,English,Drama,Lee David Zlotoff,Lee David Zlotoff
1996,The Mirror Has Two Faces,1,PG-13,English,USA,"André Cayatte (screenplay), Gérard Oury (screenplay), Richard LaGravenese (screen story), Richard LaGravenese (screenplay)",6.4,Barbra Streisand,"Barbra Streisand, Jeff Bridges, Lauren Bacall, George Segal","Comedy, Drama, Romance",movie,NA,126,1,USA,English,Comedy,Barbra Streisand,André Cayatte (screenplay)
1996,Pusher,0,Not Rated,"Danish, Swedish, Serbo-Croatian",Denmark,"Jens Dahl, Nicolas Winding Refn",7.4,Nicolas Winding Refn,"Kim Bodnia, Zlatko Buric, Laura Drasbæk, Slavko Labovic","Crime, Thriller",movie,NA,110,1,Denmark,Danish,Crime,Nicolas Winding Refn,Jens Dahl
1996,Swallowtail Butterfly,1,NA,"Japanese, English, Mandarin",Japan,Shunji Iwai,7.7,Shunji Iwai,"Hiroshi Mikami, Chara, Ayumi Itô, Yôsuke Eguchi","Crime, Drama",movie,NA,148,1,Japan,Japanese,Crime,Shunji Iwai,Shunji Iwai
1996,That Thing You Do!,1,PG,English,USA,Tom Hanks,6.8,Tom Hanks,"Tom Everett Scott, Liv Tyler, Johnathon Schaech, Steve Zahn","Comedy, Drama, Music",movie,NA,108,1,USA,English,Comedy,Tom Hanks,Tom Hanks
1996,Brassed Off,1,R,English,"UK, USA",Mark Herman,7.2,Mark Herman,"Pete Postlethwaite, Tara Fitzgerald, Ewan McGregor, Stephen Tompkinson","Comedy, Drama, Romance",movie,NA,107,1,UK,English,Comedy,Mark Herman,Mark Herman
1996,Walking and Talking,1,R,English,"UK, USA, Germany",Nicole Holofcener,6.8,Nicole Holofcener,"Amy Braverman, Miranda Rhyne, Catherine Keener, Anne Heche","Drama, Comedy, Romance",movie,NA,86,0,UK,English,Drama,Nicole Holofcener,Nicole Holofcener
1996,Beautiful Girls,1,R,English,USA,Scott Rosenberg,7.3,Ted Demme,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly","Comedy, Drama, Romance",movie,NA,112,1,USA,English,Comedy,Ted Demme,Scott Rosenberg
1996,When the Cat’s Away,1,R,French,France,Cédric Klapisch,6.9,Cédric Klapisch,"Garance Clavel, Zinedine Soualem, Renée Le Calm, Olivier Py","Comedy, Romance",movie,NA,91,1,France,French,Comedy,Cédric Klapisch,Cédric Klapisch
1996,Mother Night,0,R,"English, German, Yiddish",USA,"Kurt Vonnegut Jr. (novel), Robert B. Weide (screenplay)",7.2,Keith Gordon,"Nick Nolte, Sheryl Lee, Alan Arkin, Bernard Behrens","Drama, Romance, War",movie,NA,114,0,USA,English,Drama,Keith Gordon,Kurt Vonnegut Jr. (novel)
